location,Basileia,Basileia,Basileia,Basileia,Basileia,Basileia,Basileia
lat,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653,363.653,363.653,363.653,363.653
variable,Temperature,Precipitation Total,Cloud Cover Total,Cloud Cover High,Cloud Cover Medium,Cloud Cover Low,Sunshine Duration
unit,°C,mm,%,%,%,%,min
level,2 m elevation corrected,sfc,sfc,high cld lay,mid cld lay,low cld lay,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None,None
timestamp,Basileia Temperature [2 m elevation corrected],Basileia Precipitation Total,Basileia Cloud Cover Total,Basileia Cloud Cover High [high cld lay],Basileia Cloud Cover Medium [mid cld lay],Basileia Cloud Cover Low [low cld lay],Basileia Sunshine Duration
20200110T0400,8.850245,0.3,100.0,8.0,100.0,9.0,0.0
20200110T0500,8.870245,0.1,92.0,0.0,92.0,30.0,0.0
20200110T0600,8.710245,0.0,91.0,3.0,91.0,56.0,0.0
20200110T0700,8.570246,0.0,86.0,0.0,86.0,79.0,0.0
20200110T0800,8.440246,0.0,75.0,0.0,75.0,50.0,10.884849
20200110T0900,8.970245,0.0,72.0,0.0,41.0,72.0,16.363636
20200110T1000,10.120245,0.0,75.0,0.0,56.0,75.0,14.545455
20200110T1100,10.720245,0.0,64.0,0.0,33.0,64.0,21.212122
20200110T1200,11.030245,0.0,57.0,0.0,9.0,57.0,25.454548
20200110T1300,11.050245,0.0,47.0,0.0,11.0,47.0,31.51515
20200110T1400,10.640245,0.0,63.0,0.0,30.0,63.0,21.818182
20200110T1500,10.130245,0.0,48.0,0.0,46.0,48.0,30.90909
20200110T1600,9.620245,0.0,48.0,0.0,46.0,48.0,30.857574
20200110T1700,9.280245,0.1,88.0,0.0,30.0,88.0,0.0
20200110T1800,9.180245,0.0,97.0,0.0,32.0,97.0,0.0
20200110T1900,8.520246,0.0,97.0,0.0,26.0,97.0,0.0
20200110T2000,8.320246,0.2,98.0,0.0,30.0,98.0,0.0
20200110T2100,7.690245,0.0,95.0,0.0,26.0,95.0,0.0
20200110T2200,7.420245,0.0,91.0,0.0,30.0,91.0,0.0
20200110T2300,7.0302453,0.0,92.0,0.0,42.0,92.0,0.0
20200111T0000,6.8002453,0.0,89.0,0.0,32.0,89.0,0.0
20200111T0100,6.0802455,0.0,85.0,0.0,11.0,85.0,0.0
20200111T0200,5.630245,0.0,81.0,0.0,16.0,81.0,0.0
20200111T0300,4.6002455,0.0,75.0,0.0,20.0,75.0,0.0
20200111T0400,4.4502454,0.0,71.0,0.0,15.0,71.0,0.0
20200111T0500,4.4302454,0.0,62.0,0.0,12.0,62.0,0.0
20200111T0600,4.4102454,0.0,66.0,0.0,23.0,66.0,0.0
20200111T0700,4.7402453,0.0,81.0,1.0,12.0,81.0,0.0
20200111T0800,4.630245,0.0,78.0,0.0,9.0,78.0,9.60909
20200111T0900,5.440245,0.0,76.0,0.0,4.0,76.0,13.939394
20200111T1000,6.040245,0.0,72.0,0.0,5.0,72.0,16.363636
20200111T1100,6.9902453,0.0,73.0,5.0,5.0,73.0,15.757578
20200111T1200,7.540245,0.0,70.0,37.0,4.0,70.0,17.575756
20200111T1300,7.960245,0.0,76.0,89.0,4.0,76.0,13.939394
20200111T1400,8.070246,0.0,78.0,75.0,3.0,78.0,12.727271
20200111T1500,7.8102455,0.0,69.0,63.0,0.0,69.0,18.18182
20200111T1600,7.5302453,0.0,67.0,58.0,1.0,67.0,19.393942
20200111T1700,6.7602453,0.0,58.0,9.0,0.0,58.0,0.51077443
20200111T1800,5.420245,0.0,53.0,5.0,0.0,53.0,0.0
20200111T1900,4.2302456,0.0,46.0,0.0,0.0,46.0,0.0
20200111T2000,3.7402453,0.0,42.0,5.0,1.0,42.0,0.0
20200111T2100,2.9602456,0.0,31.0,4.0,0.0,31.0,0.0
20200111T2200,1.2702454,0.0,33.0,20.0,0.0,33.0,0.0
20200111T2300,0.6002454,0.0,27.0,43.0,0.0,27.0,0.0
20200112T0000,0.060245395,0.0,35.0,27.0,0.0,35.0,0.0
20200112T0100,0.090245396,0.0,51.0,3.0,0.0,51.0,0.0
20200112T0200,-0.11975461,0.0,62.0,0.0,0.0,62.0,0.0
20200112T0300,-0.3197546,0.0,59.0,0.0,0.0,59.0,0.0
20200112T0400,-0.4597546,0.0,58.0,0.0,1.0,58.0,0.0
20200112T0500,-0.3097546,0.0,59.0,7.0,2.0,59.0,0.0
20200112T0600,-0.08975458,0.0,56.0,41.0,2.0,56.0,0.0
20200112T0700,0.100245416,0.0,53.0,32.0,0.0,53.0,0.0
20200112T0800,0.13024542,0.0,49.0,35.0,1.0,49.0,23.164984
20200112T0900,0.8602454,0.0,20.0,33.0,0.0,20.0,47.878788
20200112T1000,2.0702453,0.0,51.0,46.0,0.0,51.0,29.09091
20200112T1100,3.5202456,0.0,44.0,72.0,0.0,44.0,33.333336
20200112T1200,4.5602455,0.0,25.500002,85.0,0.0,22.0,44.545456
20200112T1300,5.420245,0.0,27.000002,90.0,0.0,13.0,43.636364
20200112T1400,6.0602455,0.0,27.000002,90.0,0.0,5.0,43.636364
20200112T1500,5.6202455,0.0,24.300001,81.0,0.0,3.0,45.272724
20200112T1600,3.6602454,0.0,22.800001,76.0,0.0,4.0,46.181816
20200112T1700,2.0602455,0.0,23.1,77.0,0.0,4.0,1.9549999
20200112T1800,2.0702453,0.0,14.400001,48.0,3.0,7.0,0.0
20200112T1900,2.5702453,0.0,28.0,9.0,9.0,28.0,0.0
20200112T2000,2.3802454,0.0,50.0,14.0,11.0,50.0,0.0
20200112T2100,2.1502454,0.0,68.0,13.0,22.0,68.0,0.0
20200112T2200,1.8602453,0.0,100.0,0.0,39.0,100.0,0.0
20200112T2300,2.0102453,0.0,100.0,0.0,57.0,100.0,0.0
20200113T0000,1.7802454,0.0,99.0,1.0,39.0,99.0,0.0
20200113T0100,2.2502456,0.0,96.0,2.0,37.0,96.0,0.0
20200113T0200,2.1802454,0.0,90.0,37.0,22.0,90.0,0.0
20200113T0300,2.0302453,0.0,95.0,18.0,19.0,95.0,0.0
20200113T0400,2.2302454,0.0,82.0,52.0,6.0,82.0,0.0
20200113T0500,2.7802453,0.0,78.0,97.0,13.0,78.0,0.0
20200113T0600,2.8002453,0.0,76.0,97.0,13.0,76.0,0.0
20200113T0700,2.7702456,0.0,63.0,98.0,7.0,63.0,0.0
20200113T0800,2.8502455,0.0,55.0,98.0,13.0,55.0,20.637035
20200113T0900,3.5402455,0.0,30.0,98.0,2.0,30.0,41.81818
20200113T1000,4.380245,0.0,69.0,98.0,5.0,69.0,18.18182
20200113T1100,5.650245,0.0,64.0,97.0,6.0,64.0,21.212122
20200113T1200,6.750245,0.0,50.0,91.0,13.0,50.0,29.69697
20200113T1300,7.7202454,0.0,59.0,27.0,31.0,59.0,24.242424
20200113T1400,8.480246,0.0,39.0,0.0,33.0,39.0,36.36364
20200113T1500,8.540245,0.0,47.0,0.0,42.0,47.0,31.51515
20200113T1600,5.3902454,0.0,38.0,0.0,35.0,38.0,36.969692
20200113T1700,4.2002454,0.0,40.0,20.0,40.0,33.0,2.2944446
20200113T1800,3.4402456,0.0,23.400002,78.0,13.0,9.0,0.0
20200113T1900,2.8602452,0.0,26.1,87.0,3.0,3.0,0.0
20200113T2000,2.3502455,0.0,27.000002,90.0,1.0,1.0,0.0
20200113T2100,1.8302454,0.0,2.7,9.0,1.0,2.0,0.0
20200113T2200,0.7902454,0.0,23.0,16.0,3.0,23.0,0.0
20200113T2300,0.3802454,0.0,20.1,67.0,2.0,12.0,0.0
20200114T0000,0.7102454,0.0,30.000002,100.0,1.0,15.0,0.0
20200114T0100,0.7902454,0.0,60.0,99.0,0.0,60.0,0.0
